"week","addition","deletion"
"2011-05-15",419,-27
"2011-05-22",146,-138
"2011-05-29",1097,-643
"2011-06-05",1907,-664
"2011-06-12",0,0
"2011-06-19",111,-34
"2011-06-26",365,-63
"2011-07-03",34,-13
"2011-07-10",85,-3
"2011-07-17",0,0
"2011-07-24",0,0
"2011-07-31",0,0
"2011-08-07",90,-21
"2011-08-14",49,-19
"2011-08-21",76,0
"2011-08-28",2,-2
"2011-09-04",0,0
"2011-09-11",0,0
"2011-09-18",0,0
"2011-09-25",0,0
"2011-10-02",0,0
"2011-10-09",0,0
"2011-10-16",0,0
"2011-10-23",0,0
"2011-10-30",0,0
"2011-11-06",0,0
"2011-11-13",0,0
"2011-11-20",0,0
"2011-11-27",0,0
"2011-12-04",0,0
"2011-12-11",0,0
"2011-12-18",0,0
"2011-12-25",0,0
"2012-01-01",0,0
"2012-01-08",0,0
"2012-01-15",0,0
"2012-01-22",0,0
"2012-01-29",0,0
"2012-02-05",0,0
"2012-02-12",0,0
"2012-02-19",0,0
"2012-02-26",0,0
"2012-03-04",0,0
"2012-03-11",0,0
"2012-03-18",619,-200
"2012-03-25",29,-68
"2012-04-01",0,0
"2012-04-08",2,-2
"2012-04-15",0,0
"2012-04-22",119,-48
"2012-04-29",0,0
"2012-05-06",179,-14
"2012-05-13",0,0
"2012-05-20",0,0
"2012-05-27",0,0
"2012-06-03",0,0
"2012-06-10",0,0
"2012-06-17",0,0
"2012-06-24",0,0
"2012-07-01",0,0
"2012-07-08",260,-25
"2012-07-15",443,-51
"2012-07-22",108,-20
"2012-07-29",1113,-353
"2012-08-05",387,-334
"2012-08-12",22,-1
"2012-08-19",4512,-4387
"2012-08-26",6299,-6086
"2012-09-02",727,-411
"2012-09-09",0,0
"2012-09-16",16,0
"2012-09-23",0,0
"2012-09-30",6,-1
"2012-10-07",0,0
"2012-10-14",0,0
"2012-10-21",0,0
"2012-10-28",0,0
"2012-11-04",0,0
"2012-11-11",0,0
"2012-11-18",0,0
"2012-11-25",195,-28
"2012-12-02",0,0
"2012-12-09",0,0
"2012-12-16",0,0
"2012-12-23",0,0
"2012-12-30",0,0
"2013-01-06",0,0
"2013-01-13",0,0
"2013-01-20",0,0
"2013-01-27",0,0
"2013-02-03",0,0
"2013-02-10",0,0
"2013-02-17",77,-41
"2013-02-24",0,0
"2013-03-03",0,0
"2013-03-10",0,0
"2013-03-17",0,0
"2013-03-24",0,0
"2013-03-31",0,0
"2013-04-07",290,-97
"2013-04-14",0,0
"2013-04-21",7,-7
"2013-04-28",0,0
"2013-05-05",0,0
"2013-05-12",0,0
"2013-05-19",0,0
"2013-05-26",10,-13
"2013-06-02",0,0
"2013-06-09",0,0
"2013-06-16",30,-18
"2013-06-23",0,0
"2013-06-30",0,0
"2013-07-07",0,0
"2013-07-14",0,0
"2013-07-21",0,0
"2013-07-28",0,0
"2013-08-04",0,0
"2013-08-11",0,0
"2013-08-18",0,0
"2013-08-25",0,0
"2013-09-01",0,0
"2013-09-08",0,0
"2013-09-15",0,0
"2013-09-22",3,-3
"2013-09-29",0,0
"2013-10-06",0,0
"2013-10-13",0,0
"2013-10-20",0,0
"2013-10-27",0,0
"2013-11-03",0,0
"2013-11-10",0,0
"2013-11-17",130,-52
"2013-11-24",0,0
"2013-12-01",0,0
"2013-12-08",0,0
"2013-12-15",0,0
"2013-12-22",0,0
"2013-12-29",49,-5
"2014-01-05",0,0
"2014-01-12",0,0
"2014-01-19",0,0
"2014-01-26",0,0
"2014-02-02",0,0
"2014-02-09",0,0
"2014-02-16",78,-20
"2014-02-23",4,-2
"2014-03-02",0,0
"2014-03-09",39,-11
"2014-03-16",17,-3
"2014-03-23",212,-94
"2014-03-30",0,0
"2014-04-06",2,-2
"2014-04-13",404,-523
"2014-04-20",0,0
"2014-04-27",0,0
"2014-05-04",1790,-33
"2014-05-11",732,-260
"2014-05-18",1004,-1145
"2014-05-25",3,-1
"2014-06-01",154,-112
"2014-06-08",0,0
"2014-06-15",67,-8
"2014-06-22",0,0
"2014-06-29",8058,-7691
"2014-07-06",39,-40
"2014-07-13",79,-80
"2014-07-20",0,0
"2014-07-27",85,-42
"2014-08-03",0,0
"2014-08-10",0,0
"2014-08-17",0,0
"2014-08-24",2941,-1329
"2014-08-31",381,-88
"2014-09-07",500,-260
"2014-09-14",379,-121
"2014-09-21",98,-125
"2014-09-28",0,0
"2014-10-05",249,-50
"2014-10-12",221,-55
"2014-10-19",40,-12
"2014-10-26",74,-39
"2014-11-02",121,-21
"2014-11-09",20,-11
"2014-11-16",77,-38
"2014-11-23",548,-16
"2014-11-30",925,-36
"2014-12-07",125,-126
"2014-12-14",330,-242
"2014-12-21",313,-21
"2014-12-28",120,-43
"2015-01-04",201,-37
"2015-01-11",6,-74
"2015-01-18",19,-4
"2015-01-25",256,-1687
"2015-02-01",74,-6
"2015-02-08",0,0
"2015-02-15",51,-37
"2015-02-22",38,-65
"2015-03-01",117,-56
"2015-03-08",198,0
"2015-03-15",6,-3
"2015-03-22",65,-20
"2015-03-29",0,0
"2015-04-05",419,-157
"2015-04-12",79,-9
"2015-04-19",280,-171
"2015-04-26",9,-6
"2015-05-03",85,-85
"2015-05-10",134,-34
"2015-05-17",2607,-1717
"2015-05-24",60,-41
"2015-05-31",406,-784
"2015-06-07",236,-155
"2015-06-14",21,-10
"2015-06-21",5,-3
"2015-06-28",0,0
"2015-07-05",172,-42
"2015-07-12",203,-50
"2015-07-19",689,-69
"2015-07-26",206,-206
"2015-08-02",738,-99
"2015-08-09",0,0
"2015-08-16",0,0
"2015-08-23",35,-16
"2015-08-30",0,0
"2015-09-06",0,0
"2015-09-13",1307,-36
"2015-09-20",59,-128
"2015-09-27",6,-4
"2015-10-04",0,0
"2015-10-11",0,0
"2015-10-18",93,0
"2015-10-25",507,0
"2015-11-01",0,0
"2015-11-08",282,-1037
"2015-11-15",344,-150
"2015-11-22",26,-18
"2015-11-29",1,-1
"2015-12-06",130,-156
"2015-12-13",4,-8
"2015-12-20",0,0
"2015-12-27",0,0
"2016-01-03",1227,-181
"2016-01-10",44,-21
"2016-01-17",102,-76
"2016-01-24",3,0
"2016-01-31",77,-49
"2016-02-07",0,0
"2016-02-14",27,-23
"2016-02-21",36,-6
"2016-02-28",4,0
"2016-03-06",30,-4
"2016-03-13",0,0
"2016-03-20",8,-8
"2016-03-27",0,0
"2016-04-03",183,-98
"2016-04-10",0,0
"2016-04-17",0,0
"2016-04-24",0,0
"2016-05-01",53,-8
"2016-05-08",0,0
"2016-05-15",0,0
"2016-05-22",0,0
"2016-05-29",0,0
"2016-06-05",0,-11
"2016-06-12",0,0
"2016-06-19",5719,-5548
"2016-06-26",696,-26
"2016-07-03",100,-96
"2016-07-10",73,-3
"2016-07-17",66,-163
"2016-07-24",692,-84
"2016-07-31",115,-11
"2016-08-07",36,-26
"2016-08-14",687,-153
"2016-08-21",1511,-697
"2016-08-28",1539,-358
"2016-09-04",19,-9
"2016-09-11",4298,-12
"2016-09-18",0,0
"2016-09-25",1065,-1173
"2016-10-02",369,-89
"2016-10-09",1301,-389
"2016-10-16",1023,-578
"2016-10-23",3543,-118
"2016-10-30",95,-89
"2016-11-06",20,-2
"2016-11-13",0,0
"2016-11-20",350,-59
"2016-11-27",20,-7
"2016-12-04",5,-5
"2016-12-11",9,-29
"2016-12-18",715,-240
"2016-12-25",1999,-679
"2017-01-01",44,-31
"2017-01-08",539,-57
"2017-01-15",96,-116
"2017-01-22",997,-65
"2017-01-29",3198,-329
"2017-02-05",8,-3
"2017-02-12",25,-10
"2017-02-19",656,-82
"2017-02-26",450,-69
"2017-03-05",14,0
"2017-03-12",7,-5
"2017-03-19",0,0
"2017-03-26",4,-4
"2017-04-02",1,0
"2017-04-09",0,0
"2017-04-16",2,-9
"2017-04-23",119,-13
"2017-04-30",71,-52
"2017-05-07",303,-133
"2017-05-14",823,-856
"2017-05-21",293,-217
"2017-05-28",370,0
"2017-06-04",12,-12
"2017-06-11",170,-50
"2017-06-18",14,-129
"2017-06-25",80,-101
"2017-07-02",140,-99
"2017-07-09",25,-25
"2017-07-16",0,0
"2017-07-23",6,-6
"2017-07-30",4155,-5203
"2017-08-06",567,-502
"2017-08-13",1722,-289
"2017-08-20",103,-6
"2017-08-27",1031,-134
"2017-09-03",111,-709
"2017-09-10",127,-990
"2017-09-17",641,-362
"2017-09-24",452,-264
"2017-10-01",213,-117
"2017-10-08",0,0
"2017-10-15",27,-6
"2017-10-22",0,0
"2017-10-29",635,-27
"2017-11-05",42,-4
"2017-11-12",1399,-118
"2017-11-19",344,-65
"2017-11-26",299,-196
"2017-12-03",839,-264
"2017-12-10",2291,-1843
"2017-12-17",528,-212
"2017-12-24",98,-40
"2017-12-31",259,-311
"2018-01-07",450,-244
"2018-01-14",292,-178
"2018-01-21",235,-61
"2018-01-28",22,-43
"2018-02-04",941,-253
"2018-02-11",1582,-3375
"2018-02-18",1826,-411
"2018-02-25",1489,-1766
"2018-03-04",857,-1209
"2018-03-11",593,-57
"2018-03-18",1414,-1241
"2018-03-25",1608,-2075
"2018-04-01",1457,-882
"2018-04-08",944,-661
"2018-04-15",0,0
"2018-04-22",57,-1
"2018-04-29",1194,-1216
"2018-05-06",172,-5
"2018-05-13",105,-5
"2018-05-20",0,0
"2018-05-27",134,-289
"2018-06-03",184,-186
"2018-06-10",59,-277
"2018-06-17",16,-2
"2018-06-24",0,0
"2018-07-01",3404,-397
"2018-07-08",101,-61
"2018-07-15",716,-512
"2018-07-22",137,-131
"2018-07-29",180,-85
"2018-08-05",50,-62
"2018-08-12",109,-10
"2018-08-19",0,0
"2018-08-26",18,-11
"2018-09-02",0,0
"2018-09-09",0,0
"2018-09-16",0,0
"2018-09-23",2,-2
"2018-09-30",0,0
"2018-10-07",0,0
"2018-10-14",4,0
"2018-10-21",0,0
"2018-10-28",0,0
"2018-11-04",43,-3
"2018-11-11",0,0
"2018-11-18",0,0
"2018-11-25",3,-9
"2018-12-02",0,0
"2018-12-09",0,0
"2018-12-16",668,-186
"2018-12-23",602,-172
"2018-12-30",226,-64
"2019-01-06",421,-48
"2019-01-13",512,-289
"2019-01-20",232,-29
"2019-01-27",269,-19
"2019-02-03",1341,-37
"2019-02-10",167,0
"2019-02-17",237,-5
"2019-02-24",12,-6
"2019-03-03",2,-9
"2019-03-10",404,-231
"2019-03-17",16,-19
"2019-03-24",0,-1576
"2019-03-31",219,-60
"2019-04-07",1269,-29
"2019-04-14",11,-5
"2019-04-21",377,-173
"2019-04-28",1358,-210
"2019-05-05",461,-310
"2019-05-12",94,-18
"2019-05-19",8,-121
"2019-05-26",934,-2546
"2019-06-02",494,-346
"2019-06-09",325,-1002
"2019-06-16",890,-97
"2019-06-23",963,-746
"2019-06-30",82,-56
"2019-07-07",330,-262
"2019-07-14",0,0
"2019-07-21",0,0
"2019-07-28",1,-1
"2019-08-04",0,0
"2019-08-11",116,0
"2019-08-18",0,0
"2019-08-25",0,0
"2019-09-01",0,0
"2019-09-08",0,0
"2019-09-15",51,-3
"2019-09-22",81,-72
"2019-09-29",35,-25
"2019-10-06",5,-5
"2019-10-13",0,0
"2019-10-20",2,-2
"2019-10-27",0,0
"2019-11-03",6,-6
"2019-11-10",483,-439
"2019-11-17",595,-30
"2019-11-24",24,-24
"2019-12-01",0,0
"2019-12-08",2,-2
"2019-12-15",0,0
"2019-12-22",0,0
"2019-12-29",0,0
"2020-01-05",0,0
"2020-01-12",8,-1
"2020-01-19",1,0
"2020-01-26",3,-3
"2020-02-02",4,-1
"2020-02-09",3,0
"2020-02-16",0,0
"2020-02-23",0,-9
"2020-03-01",0,0
"2020-03-08",0,0
"2020-03-15",0,0
"2020-03-22",0,0